Symbol,ARIMA_Acc,LSTM_Acc,Ensemble_Acc,Binary_Acc
ASL,49.3,50.9,50.9,56.6
DGKC,49.8,49.1,53.8,51.0
EFERT,47.8,50.3,46.8,45.5
FCCL,47.3,55.5,47.4,54.5
FFC,55.7,53.8,55.5,58.6
HBL,49.8,48.0,43.9,50.0
HUBC,0.5,52.0,53.2,51.5
ISL,42.4,42.2,50.9,59.1
LUCK,52.0,50.6,51.8,51.8
MCB,52.7,51.4,49.1,53.5
MEBL,55.7,56.1,56.6,49.5
MLCF,47.8,43.4,49.7,50.5
OGDC,49.8,48.6,49.7,47.0
POL,0.0,53.8,45.1,54.5
PPL,0.0,53.2,45.7,54.5
PSO,48.3,53.2,48.0,53.5
UBL,52.7,53.2,54.3,51.0
